F9,F7,F3,Fz,F4,F8,F10,FC5,FC1,FC2,FC6,T9,T7,C3,C4,T8,T10,CP5,CP1,CP2,CP6,P9,P7,P3,Pz,P4,P8,P10
3.7829,11.4373,16.4569,7.6378,-1.1876,-1.4692,3.5974,5.7086,-3.1572,-3.6827,-4.0086,-4.8224,-1.5874,0.6673,-3.3529,0.0135,-4.6255,2.1587,4.2052,-2.7759,-5.6715,-2.4751,-4.851,3.7109,11.8228,1.4126,-2.7609,1.0484
3.7836,12.5677,17.3414,7.7861,-1.1009,-1.1817,4.0516,6.7338,-2.4106,-2.7038,-3.1675,-4.2616,-0.3584,0.3999,-5.0319,-0.0299,-3.7317,3.3541,4.3804,-2.1566,-4.8673,-1.3626,-4.9596,3.0528,11.2843,0.152,-4.3735,0.1686
4.3341,14.0048,17.1112,8.5716,-0.9507,0.0703,5.5828,7.3455,-0.0288,-2.1713,-3.757,-3.1724,1.291,-1.6,-7.8449,-2.2065,-4.6146,2.2033,2.6533,-3.2642,-5.4894,-1.8814,-5.9717,0.501,7.7686,-2.1761,-4.6356,-1.1578
4.8731,13.8146,15.4779,8.942,-0.8551,1.7025,7.5905,8.1883,3.5603,-1.7898,-4.2067,-0.7633,3.9757,-1.4031,-7.7484,-2.8987,-5.5303,0.796,0.9978,-4.3476,-6.5751,-3.7276,-6.8662,-1.7617,4.037,-3.6028,-3.2961,-1.5171
6.3051,15.058,16.6232,10.9859,-0.8459,2.8776,9.9277,9.0712,5.4717,-2.8696,-6.0056,-0.068,4.7239,-1.0547,-6.4398,-3.5206,-7.8028,-1.1229,0.5757,-6.0657,-8.974,-6.631,-7.9212,-1.6481,4.1236,-2.7283,-1.0064,-0.5133
6.5792,13.6485,14.6905,10.9305,-1.3739,3.0806,10.4202,8.3544,6.6485,-4.7108,-8.315,0.3549,4.8608,-0.6138,-5.0398,-4.3089,-10.7643,-4.1267,-1.552,-8.7751,-12.1265,-10.2408,-9.789,-3.6626,1.6046,-3.1689,1.9808,-0.0585
6.3349,9.8575,10.8704,9.5229,-1.1674,4.8071,12.2505,10.083,11.3513,-3.2442,-6.1453,5.3148,9.6149,5.2322,1.3646,0.0059,-8.8687,-3.0825,-1.0415,-7.2188,-11.449,-11.9244,-8.796,-3.474,-0.1624,-2.0512,4.3945,1.5485
7.7166,9.2546,11.4427,11.0231,0.0213,7.9741,16.7053,14.2446,16.9265,-0.3362,-2.4289,10.9786,15.2353,12.2379,9.5803,5.9162,-4.9735,0.3394,3.0808,-3.1449,-8.8133,-12.1651,-5.5636,1.4574,3.4709,2.4745,6.0699,4.813
6.8713,5.2096,7.3162,8.9168,-0.2087,8.2575,16.5062,14.0895,18.9092,-0.1799,-1.6125,13.5009,17.2816,15.8939,13.879,8.4905,-4.4159,0.1574,2.4739,-2.8846,-9.009,-13.763,-5.3974,0.6334,1.3053,2.7665,8.216,5.6969
4.4313,-1.249,0.6907,4.1947,-1.5199,6.5648,13.5101,12.2845,19.0819,-1.411,-1.8031,14.8115,18.2974,19.4368,16.7327,10.6642,-5.1828,-0.9045,-0.368,-4.3643,-10.7759,-16.0982,-7.3332,-3.6367,-3.8017,0.3055,10.13,5.2354
5.1351,-0.0103,3.8182,5.5432,-1.8411,5.8663,13.8391,13.0947,17.6573,-2.7676,-2.7014,13.5663,17.2337,21.0584,18.5337,11.9299,-6.1663,-0.4719,1.2553,-4.7194,-12.1697,-17.2156,-7.8786,-1.4031,0.3817,2.3117,10.6708,6.6131
5.8351,1.5757,7.7514,7.2027,-1.9091,4.4947,13.0775,12.6029,13.7303,-4.5171,-3.806,10.3403,13.4865,21.2015,20.1542,12.5361,-6.9623,-0.1792,3.7528,-4.5969,-12.7913,-17.2293,-7.2608,2.8765,6.9986,6.0169,11.0656,8.5011
5.6302,0.3498,8.6252,6.8778,-2.2793,3.329,12.1921,12.6542,11.9018,-5.5872,-3.7361,9.5707,12.3954,24.3031,23.9053,15.2696,-6.832,0.7839,5.5538,-4.0673,-13.2671,-17.9204,-6.9794,5.4027,10.9405,8.5441,11.9883,10.2579
7.7614,4.5598,13.4257,10.4784,-2.1719,4.6216,15.5276,15.2622,13.6939,-6.1602,-5.136,9.8508,13.6302,24.387,23.5019,14.7114,-8.6027,0.507,6.4846,-5.1647,-15.2772,-19.7499,-8.2416,6.4351,13.2727,9.2588,12.3558,10.9343
8.6981,7.3197,13.4086,12.1114,-2.2172,5.4671,16.4863,13.9421,14.5204,-7.3233,-8.4977,8.4912,12.5247,18.0491,17.1206,8.5182,-12.4586,-3.809,2.5555,-8.9603,-17.9298,-21.3442,-10.6444,2.1218,8.0198,5.7568,12.7383,8.6732
8.3165,6.917,10.1429,11.3854,-2.4662,5.4834,15.4947,11.1631,14.5152,-8.4258,-11.1246,7.2933,10.9629,12.6852,12.1426,3.3385,-15.4645,-8.0539,-1.9107,-12.2603,-19.829,-22.5305,-12.4918,-2.7711,1.4606,2.1216,13.5255,6.3965
11.3909,13.9621,17.2038,16.9151,-1.6117,7.5421,19.7218,13.7067,15.7988,-8.3393,-12.5945,6.4981,10.9634,9.6013,9.2925,0.6221,-16.9359,-8.476,-0.2847,-12.8174,-20.6553,-22.7827,-12.571,-0.207,5.1773,3.6045,12.8961,6.842
